client_id|age_start_observed|age_end|is_truncated|is_censored|is_dead|date_start_observed|date_end_observed
15113102|0.0|9.09733522829462|False|True|False|1908-11-17|1917-12-22
41505894|0.0|64.4866894241665|False|True|False|1828-09-13|1893-03-10
24774171|0.0|33.071552436886755|False|True|False|1911-02-07|1944-03-04
97834936|34.83456551329078|68.77825819060192|True|True|False|1820-01-01|1853-12-10
45793809|0.0|95.94835808421632|False|False|True|1870-05-29|1966-05-11
81377504|0.0|2.9564235021250704|False|True|False|1853-10-15|1856-09-29
99660085|0.0|63.09920303901596|False|False|True|1833-08-16|1896-09-21
19344057|0.0|33.31048774153475|False|True|False|1822-07-30|1855-11-21
68435651|0.0|18.973535213279312|False|True|False|1896-06-08|1915-05-31
8411512|0.0|77.08267877868141|False|False|True|1901-06-14|1978-07-15
29101530|20.38669309481605|33.48262030784916|True|False|True|1820-01-01|1833-02-04
70210553|0.0|0.3702881694905827|False|True|False|1903-09-19|1904-02-01
68261662|0.0|18.771232309719057|False|True|False|1875-08-26|1894-06-04
72494210|0.0|80.99593710869813|False|True|False|1847-11-23|1928-11-22
53592664|0.0|76.19474199301654|False|True|False|1904-08-09|1980-10-19
16006441|0.0|57.11917294677978|False|False|True|1822-11-11|1879-12-25
11813396|0.0|98.45307089205272|False|False|True|1900-05-19|1998-11-01
4312332|19.45321009814993|45.14481492602785|True|True|False|1820-01-01|1845-09-09
8324994|0.0|8.542087492690063|False|False|True|1909-12-03|1918-06-19
40171007|11.377339296262155|25.86485076013156|True|True|False|1820-01-01|1834-06-27
39241971|40.51369821613411|50.52702294184531|True|True|False|1820-01-01|1830-01-05
35665172|0.0|35.84308221599094|False|False|True|1877-12-10|1913-10-15
51280386|0.0|42.4596224166893|False|False|True|1889-04-23|1931-10-09
38201743|0.0|0.6579192946522371|False|True|False|1914-06-04|1915-01-30
262472|0.0|47.80093380558503|False|True|False|1851-05-08|1899-02-25
4297755|0.0|8.705278282890248|False|True|False|1899-02-06|1907-10-23
49515563|11.42816096301302|25.58271674852668|True|True|False|1820-01-01|1834-02-25
76498562|0.0|82.99733299972547|False|True|False|1862-09-04|1945-09-04
50078630|0.0|4.07974927902244|False|True|False|1861-07-31|1865-08-29
36844243|0.0|36.385609406101686|False|True|False|1912-10-27|1949-03-16
47371530|0.0|69.22655493406876|False|False|True|1845-03-16|1914-06-08
7382242|0.0|29.98330216373333|False|False|True|1885-12-31|1915-12-27
62537143|0.0|0.1065128364196262|False|True|False|1881-09-11|1881-10-20
17307152|8.950868608268088|81.20438725135185|True|False|True|1820-01-01|1892-04-02
56766452|24.82157407456317|50.06982845347906|True|True|False|1820-01-01|1845-03-31
82228680|0.0|39.73058289052671|False|False|True|1830-04-22|1870-01-13
32193069|0.0|14.724891818669672|False|True|False|1836-12-12|1851-09-03
5658576|0.0|31.673066132066168|False|True|False|1879-06-17|1911-02-18
2762125|0.0|63.9857376482224|False|True|False|1882-02-20|1946-02-16
18637087|0.0|3.8957498952056726|False|False|True|1903-02-15|1907-01-08
86506187|0.0|61.66251862466509|False|True|False|1866-07-02|1928-03-02
95230603|0.0|29.259348105585183|False|False|True|1839-04-01|1868-07-04
50898739|0.0|21.65826726969729|False|True|False|1841-02-12|1862-10-11
23515178|0.0|14.473900035691996|False|True|False|1836-09-12|1851-03-05
84239816|0.0|45.16709031012936|False|True|False|1918-12-18|1964-02-17
92315222|0.0|8.689743184361225|False|True|False|1852-07-23|1861-04-01
94547585|0.0|73.44296242559943|False|False|True|1821-05-07|1894-10-16
63955071|0.0|98.43377846155794|False|False|True|1839-04-07|1937-09-13
71787891|0.0|61.410959459710895|False|False|True|1919-10-11|1981-03-09
17236419|5.18842862371568|15.32643012285591|True|True|False|1820-01-01|1830-02-19
43653097|45.50356082786618|78.03485551886473|True|True|False|1820-01-01|1852-07-13
51278843|0.0|47.39521301325132|False|False|True|1892-10-10|1940-03-04
67515224|0.0|10.949960330698326|False|True|False|1863-05-29|1874-05-10
83165600|9.777897834869712|42.44758403551633|True|True|False|1820-01-01|1852-09-01
82870409|39.37912262499228|55.82069087613388|True|True|False|1820-01-01|1836-06-10
65835550|0.0|6.493495302066083|False|True|False|1891-03-08|1897-09-04
86432255|0.0|62.11398010753972|False|False|True|1870-01-05|1932-02-17
78493355|0.0|49.4449121197732|False|True|False|1890-03-23|1939-09-02
95476577|0.0|25.41730333427961|False|True|False|1848-01-23|1873-06-24
91386822|0.5628392149193502|78.49100197497982|True|False|True|1820-01-01|1897-12-05
7919825|39.37171366387271|85.17325681491644|True|False|True|1820-01-01|1865-10-20
84755021|0.0|0.3862047310051382|False|True|False|1864-01-02|1864-05-22
94725765|0.0|71.059690587635|False|True|False|1848-06-11|1919-07-04
19889846|0.0|79.74806812117956|False|True|False|1841-04-06|1921-01-05
50536224|0.0|98.42780875757404|False|False|True|1889-03-29|1987-09-03
36716426|0.0|71.75052780135405|False|True|False|1873-05-13|1945-02-12
67737427|28.244952445696786|78.40107671400946|True|True|False|1820-01-01|1870-02-26
63045122|0.0|55.78849979536939|False|False|True|1894-10-25|1950-08-10
1887540|0.0|67.91175792137784|False|False|True|1828-05-16|1896-04-14
39911767|0.0|6.859572500976341|False|True|False|1876-04-03|1883-02-11
61841514|3.218100486954647|9.528598603007596|True|True|False|1820-01-01|1826-04-23
67934856|9.459990685117871|88.46578838338115|True|False|True|1820-01-01|1899-01-02
16798990|0.0|76.29226982220597|False|False|True|1914-03-07|1990-06-22
85668679|0.0|44.44817949666584|False|True|False|1897-08-02|1942-01-13
96271096|0.0|82.4319578599653|False|False|True|1859-01-11|1941-06-19
17057101|10.962955415970022|46.94480561261425|True|True|False|1820-01-01|1855-12-25
28042654|0.0|37.53872405573678|False|False|True|1881-07-12|1919-01-26
36856460|0.0|34.18891617655779|False|True|False|1884-08-06|1918-10-16
31669571|0.0|55.34075220393983|False|False|True|1917-08-29|1972-12-31
41724875|0.0|16.244732920843926|False|True|False|1894-07-28|1910-10-27
39455302|0.0|70.70045398646164|False|False|True|1829-07-15|1900-03-28
73174371|14.758843186404684|54.82037769468431|True|False|True|1820-01-01|1860-01-23
52952282|35.60480910493956|89.09034111394509|True|False|True|1820-01-01|1873-06-26
39227902|0.0|52.47488430007077|False|False|True|1821-05-24|1873-11-13
21144499|0.0|77.20104490107775|False|False|True|1884-05-08|1961-07-22
70008257|38.490696829496045|91.78937176715397|True|False|True|1820-01-01|1873-04-19
68093292|42.15523196494205|97.66577575924848|True|False|True|1820-01-01|1875-07-06
7570658|0.0|38.831858117974654|False|False|True|1861-06-27|1900-04-27
47361553|28.782842604564625|81.54322290219974|True|False|True|1820-01-01|1872-10-04
91563387|0.0|98.19494370411331|False|False|True|1880-06-28|1978-09-09
59273548|0.0|94.37102047103816|False|False|True|1904-01-22|1998-06-06
8677170|16.647912447132093|65.69673485147696|True|False|True|1820-01-01|1869-01-18
29330085|0.0|3.21703959123449|False|True|False|1866-08-16|1869-11-03
60376997|0.0|47.94342347963072|False|True|False|1890-01-31|1938-01-11
4569960|0.0|36.90442411241448|False|True|False|1910-04-10|1947-03-06
38100614|0.0|8.567644055400203|False|True|False|1837-07-18|1846-02-11
69914500|0.0|47.77897602543239|False|True|False|1904-01-02|1951-10-13
9371616|0.0|29.81970371714884|False|True|False|1876-05-23|1906-03-19
58314647|0.0|25.284665253352347|False|True|False|1915-04-09|1940-07-21
94034638|0.0|90.89363108892915|False|False|True|1894-05-15|1985-04-07
84882729|0.0|68.02217711222437|False|False|True|1849-09-27|1917-10-07
7217769|0.0|53.66988771499431|False|False|True|1834-07-29|1888-03-30
18613323|0.0|66.49488560058353|False|False|True|1869-04-14|1935-10-13
53461867|0.0|45.25288947967936|False|False|True|1896-10-05|1942-01-07
40112730|0.0|79.05375321632322|False|False|True|1830-05-21|1909-06-10
87810736|0.0|77.2348977316112|False|False|True|1872-08-13|1949-11-08
75330585|0.0|28.86692973624353|False|True|False|1861-01-13|1889-11-26
21250493|0.0|3.2597909464977324|False|True|False|1881-12-30|1885-04-03
61231616|0.0|58.968953480224656|False|False|True|1849-10-03|1908-09-22
38065456|0.0|83.24368822447548|False|False|True|1884-02-08|1967-05-09
61616009|22.52413168964571|60.78532932256728|True|True|False|1820-01-01|1858-04-05
52413901|0.0|75.80256329243872|False|False|True|1883-07-19|1959-05-09
55732339|0.0|72.11111300398679|False|True|False|1912-02-14|1984-03-26
89522475|13.711111278559024|84.57677890834965|True|False|True|1820-01-01|1890-11-12
9351012|0.0|12.17970300549066|False|True|False|1890-02-04|1902-04-12
15731747|0.0|49.44325093531943|False|False|True|1831-06-27|1880-12-06
87919032|0.0|39.418873477855584|False|False|True|1895-08-12|1935-01-13
24679084|0.0|71.5825689476088|False|False|True|1900-02-14|1971-09-15
98060627|0.0|22.83865866130809|False|True|False|1824-03-25|1847-01-26
89325608|0.0|10.10255715836757|False|True|False|1892-06-06|1902-07-15
82926977|0.0|53.25729176216312|False|True|False|1820-10-08|1874-01-10
15151261|0.0|0.929684913803824|False|True|False|1865-07-14|1866-06-18
22847956|41.88324906159227|79.40937940208369|True|False|True|1820-01-01|1857-07-11
8085797|0.0|32.75557994115252|False|True|False|1895-04-16|1928-01-18
2382407|0.0|62.64046305956048|False|False|True|1878-12-13|1941-08-05
13013054|0.0|19.689225679493585|False|True|False|1871-09-22|1891-06-01
75680060|0.0|74.44538174597486|False|True|False|1853-03-31|1927-09-11
50929174|0.0|39.68683578751969|False|True|False|1843-05-08|1883-01-13
76685183|0.0|91.6522431546627|False|False|True|1870-01-10|1961-09-06
56455801|7.501397462626436|11.92472778452004|True|True|False|1820-01-01|1824-06-03
26489858|0.0|20.29821452351876|False|True|False|1911-02-26|1931-06-15
1478050|25.279831243092797|93.05812442214864|True|False|True|1820-01-01|1887-10-12
47653387|0.0|2.7986337306241|False|True|False|1919-06-03|1922-03-21
40662043|0.0|34.548849079575355|False|True|False|1906-06-29|1941-01-15
4297488|0.0|78.82890057821321|False|True|False|1828-12-14|1907-10-14
